title,trigger_prompt,main_prompt,quality_prompt,negative_prompt,seed,batch_no,resolution
1,"NJsw33t, modern anime style illustration","nsfw, nude, nipple, lying on back, missionary position, drooling, after sex, ecstasy, messy hair, sweat drops, tears, saliva, body fluids, flushed face, heavy breathing, parted lips, crying with eyes open, intimate lighting, depth of field, dramatic shadows, steamy atmosphere, happy, much semen, tired, droop down, slouching arms and legs, ejaculation, cum","blurry, low quality, watermark",42,1,16:9
2,"NJsw33t, modern anime style illustration","nsfw, nude, nipple, sex, doggy style, ass focus, back side, back head, drooling, moaning, climax, ecstasy, ahegao, messy hair, sweat drops, tears, saliva, body fluids, flushed face, heavy breathing, parted lips, crying with eyes open, intimate lighting, depth of field, dramatic shadows, steamy atmosphere, happy, pov","masterpiece, best quality, cinematic lighting","blurry, low quality, oversaturated",,2,9:16
3,"NJsw33t, modern anime style illustration","nsfw, nude, nipple, sex, doggy style, ass focus, back side, back head, drooling, after sex, ecstasy, messy hair, sweat drops, tears, saliva, body fluids, flushed face, heavy breathing, parted lips, crying with eyes open, intimate lighting, depth of field, dramatic shadows, steamy atmosphere, happy, much semen, tired, droop down, slouching arms and legs, ejaculation, cum, semen on body, pov","low quality, deformed",,1,9:16
4,"NJsw33t, modern anime style illustration","nsfw, nude, nipple, sex, girl on top, lean back, all fours, squatting, bent over, pov, drooling, after sex, ecstasy, messy hair, sweat drops, tears, saliva, body fluids, flushed face, heavy breathing, parted lips, crying with eyes open, intimate lighting, depth of field, dramatic shadows, steamy atmosphere, happy, much semen, tired, droop down, slouching arms and legs, ejaculation, cum, semen on body","low quality, deformed",,1,9:16
5,"NJsw33t, modern anime style illustration","nsfw, nude, nipple, target#lifted up, spread her legs, target#inserted his dick, drooling, after sex, ecstasy, messy hair, sweat drops, tears, saliva, body fluids, flushed face, heavy breathing, parted lips, crying with eyes open, intimate lighting, depth of field, dramatic shadows, steamy atmosphere, happy, much semen, tired, droop down, slouching arms and legs, ejaculation, cum, semen on body","low quality, deformed",,1,9:16
6,"NJsw33t, modern anime style illustration","boy, blurry face, unclear features, hazy look, indistinct face, black hair, cowgirl position, face-to-face sitting position, nsfw, nude, nipple, cowgirl position, face-to-face sitting position, drooling, moaning, climax, ecstasy, ahegao, messy hair, sweat drops, tears, saliva, body fluids, flushed face, heavy breathing, parted lips, crying with eyes open, intimate lighting, depth of field, dramatic shadows, steamy atmosphere, happy, side view","low quality, deformed",,1,9:16
7,"NJsw33t, modern anime style illustration","boy, blurry face, unclear features, hazy look, indistinct face, black hair, sitting, source#inserted his dick, penis, sex, nsfw, nude, nipple, spread her legs, target#inserted his dick, drooling, moaning, climax, ecstasy, ahegao, messy hair, sweat drops, tears, saliva, body fluids, flushed face, heavy breathing, parted lips, crying with eyes open, intimate lighting, depth of field, dramatic shadows, steamy atmosphere, happy, side view, face-to-back","low quality, deformed",,1,9:16
8,"NJsw33t, modern anime style illustration","nsfw, nude, nipple, from behind, ass grab, pussy, hetero, sex, from behind, laying down on side, vaginal, penis, spooning, penetration, drooling, moaning, climax, ecstasy, ahegao, messy hair, sweat drops, tears, saliva, body fluids, flushed face, heavy breathing, parted lips, crying with eyes open, intimate lighting, depth of field, dramatic shadows, steamy atmosphere, happy","low quality, deformed",,1,9:16
9,"NJsw33t, modern anime style illustration","nsfw, nude, nipple, standing position, full_nelson, suspended congress, face-to-face,lift one leg, drooling, moaning, climax, ecstasy, ahegao, messy hair, sweat drops, tears, saliva, body fluids, flushed face, heavy breathing, parted lips, crying with eyes open, intimate lighting, depth of field, dramatic shadows, steamy atmosphere, happy","low quality, deformed",,1,9:16
10,"NJsw33t, modern anime style illustration","nsfw, nude, nipple, reverse standing position, full_nelson, suspended congress, drooling, moaning, climax, ecstasy, ahegao, messy hair, sweat drops, tears, saliva, body fluids, flushed face, heavy breathing, parted lips, crying with eyes open, intimate lighting, depth of field, dramatic shadows, steamy atmosphere, happy","low quality, deformed",,1,9:16
11,"NJsw33t, modern anime style illustration","nsfw, nude, nipple, cunnilingus, drooling, moaning, climax, ecstasy, ahegao, messy hair, sweat drops, tears, saliva, body fluids, flushed face, heavy breathing, parted lips, crying with eyes open, intimate lighting, depth of field, dramatic shadows, steamy atmosphere, happy","low quality, deformed",,1,9:16
12,"NJsw33t, modern anime style illustration","nsfw, nude, nipple, titjob, paizuri, messy hair, sweat drops, body fluids, flushed face, heavy breathing, intimate lighting, depth of field, dramatic shadows, steamy atmosphere","low quality, deformed",,1,9:16
13,"NJsw33t, modern anime style illustration","boy, blurry face, unclear features, hazy look, indistinct face, black hair, source#suck her nipple
nsfw, nude, nipple, target#suck her nipple, drooling, moaning, ecstasy, ahegao, messy hair, sweat drops, saliva, body fluids, flushed face, heavy breathing, parted lips, intimate lighting, depth of field, dramatic shadows, steamy atmosphere, happy","low quality, deformed",,1,9:16
14,"NJsw33t, modern anime style illustration","nsfw, nude, nipple, Fellatio, ejaculation, cum, pov, looking at viewer, handjob, oral sex, blowjob, veined penis","low quality, deformed",,1,9:16
15,"NJsw33t, modern anime style illustration","nsfw, nude, nipple, from above, close up, portrait, look at viewer, hetero, penis, doggystyle, uncensored, pov, wide open mouth,head grab,wet open mouth and Sticking out wet tongue,sucking penis","low quality, deformed",,1,9:16

